time_s,direct_x_m,direct_y_m,direct_z_m,direct_vx_mps,direct_vy_mps,direct_vz_mps,iter_x_m,iter_y_m,iter_z_m,iter_vx_mps,iter_vy_mps,iter_vz_mps,analytic_x_m,analytic_y_m,analytic_z_m,analytic_vx_mps,analytic_vy_mps,analytic_vz_mps
4.500000000000000000e+03,1.893282216587123548e+04,-1.289158560232134550e+04,0.000000000000000000e+00,-4.700375154207776518e-01,-2.761223317369773778e+00,0.000000000000000000e+00,1.893282216587133735e+04,-1.289158560232133459e+04,0.000000000000000000e+00,-4.700375154207739326e-01,-2.761223317369775110e+00,0.000000000000000000e+00,1.893282216587123548e+04,-1.289158560232134550e+04,0.000000000000000000e+00,-4.700375154207774853e-01,-2.761223317369773778e+00,0.000000000000000000e+00
4.600000000000000000e+03,1.888531545108798309e+04,-1.316736272955177810e+04,0.000000000000000000e+00,-4.800925699107332356e-01,-2.754294786195609746e+00,0.000000000000000000e+00,1.888531545108808859e+04,-1.316736272955176537e+04,0.000000000000000000e+00,-4.800925699107296829e-01,-2.754294786195611078e+00,0.000000000000000000e+00,1.888531545108798673e+04,-1.316736272955177446e+04,0.000000000000000000e+00,-4.800925699107332911e-01,-2.754294786195609746e+00,0.000000000000000000e+00
4.700000000000000000e+03,1.883680450286044288e+04,-1.344243967753127436e+04,0.000000000000000000e+00,-4.901220953055407392e-01,-2.747219794405157955e+00,0.000000000000000000e+00,1.883680450286054111e+04,-1.344243967753125980e+04,0.000000000000000000e+00,-4.901220953055366869e-01,-2.747219794405158844e+00,0.000000000000000000e+00,1.883680450286043924e+04,-1.344243967753127072e+04,0.000000000000000000e+00,-4.901220953055405172e-01,-2.747219794405157511e+00,0.000000000000000000e+00
4.800000000000000000e+03,1.878729190077571548e+04,-1.371680181894413909e+04,0.000000000000000000e+00,-5.001255582815768985e-01,-2.739998718213651596e+00,0.000000000000000000e+00,1.878729190077581734e+04,-1.371680181894413181e+04,0.000000000000000000e+00,-5.001255582815732348e-01,-2.739998718213652484e+00,0.000000000000000000e+00,1.878729190077571184e+04,-1.371680181894413909e+04,0.000000000000000000e+00,-5.001255582815771206e-01,-2.739998718213651596e+00,0.000000000000000000e+00
4.900000000000000000e+03,1.873678027768423635e+04,-1.399043456448479810e+04,0.000000000000000000e+00,-5.101024269011005252e-01,-2.732631941604415804e+00,0.000000000000000000e+00,1.873678027768435277e+04,-1.399043456448479265e+04,0.000000000000000000e+00,-5.101024269010964174e-01,-2.732631941604417136e+00,0.000000000000000000e+00,1.873678027768424363e+04,-1.399043456448479992e+04,0.000000000000000000e+00,-5.101024269011004142e-01,-2.732631941604415804e+00,0.000000000000000000e+00
5.000000000000000000e+03,1.868527231955976458e+04,-1.426332336363354989e+04,0.000000000000000000e+00,-5.200521706405316635e-01,-2.725119856308447552e+00,0.000000000000000000e+00,1.868527231955987736e+04,-1.426332336363354079e+04,0.000000000000000000e+00,-5.200521706405273337e-01,-2.725119856308449329e+00,0.000000000000000000e+00,1.868527231955976458e+04,-1.426332336363354625e+04,0.000000000000000000e+00,-5.200521706405315525e-01,-2.725119856308447996e+00,0.000000000000000000e+00
5.100000000000000000e+03,1.863277076535648303e+04,-1.453545370543029640e+04,0.000000000000000000e+00,-5.299742604186672423e-01,-2.717462861783586092e+00,0.000000000000000000e+00,1.863277076535659580e+04,-1.453545370543029276e+04,0.000000000000000000e+00,-5.299742604186626904e-01,-2.717462861783587424e+00,0.000000000000000000e+00,1.863277076535647939e+04,-1.453545370543029821e+04,0.000000000000000000e+00,-5.299742604186671313e-01,-2.717462861783586092e+00,0.000000000000000000e+00
5.200000000000000000e+03,1.857927840686342824e+04,-1.480681111924620927e+04,0.000000000000000000e+00,-5.398681686248130163e-01,-2.709661365193269056e+00,0.000000000000000000e+00,1.857927840686354466e+04,-1.480681111924620745e+04,0.000000000000000000e+00,-5.398681686248084644e-01,-2.709661365193270832e+00,0.000000000000000000e+00,1.857927840686342824e+04,-1.480681111924621291e+04,0.000000000000000000e+00,-5.398681686248130163e-01,-2.709661365193269056e+00,0.000000000000000000e+00
5.300000000000000000e+03,1.852479808855601732e+04,-1.507738117555316967e+04,0.000000000000000000e+00,-5.497333691468404560e-01,-2.701715781384885773e+00,0.000000000000000000e+00,1.852479808855613737e+04,-1.507738117555316603e+04,0.000000000000000000e+00,-5.497333691468359040e-01,-2.701715781384887549e+00,0.000000000000000000e+00,1.852479808855601732e+04,-1.507738117555317149e+04,0.000000000000000000e+00,-5.497333691468404560e-01,-2.701715781384885773e+00,0.000000000000000000e+00
5.400000000000000000e+03,1.846933270744477340e+04,-1.534714948669107616e+04,0.000000000000000000e+00,-5.595693373991623698e-01,-2.693626532867714030e+00,0.000000000000000000e+00,1.846933270744490073e+04,-1.534714948669107071e+04,0.000000000000000000e+00,-5.595693373991574848e-01,-2.693626532867715362e+00,0.000000000000000000e+00,1.846933270744477704e+04,-1.534714948669107434e+04,0.000000000000000000e+00,-5.595693373991621478e-01,-2.693626532867713586e+00,0.000000000000000000e+00
